"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","per1M","newper1M","activeper1M","days_since_case100","days_since_case10","days_since_death10","days_since_death1"
"2339","Guatemala",2020-04-08,78,87,10,3,0,17,0,67,0.5,0.1,0.4,4.9,0.6,3.7,0,20,0,24
"2378","Guinea",2020-04-08,78,164,20,0,0,5,0,159,1.2,0.2,1.2,12.5,1.5,12.1,5,11,0,0
"2397","Guinea-Bissau",2020-04-08,78,33,0,0,0,0,0,33,1.7,0,1.7,16.8,0,16.8,0,6,0,0
"2413","Guyana",2020-04-08,78,37,4,6,1,8,0,23,4.7,0.5,2.9,47,5.1,29.2,0,11,0,28
"2438","Haiti",2020-04-08,78,27,2,1,0,0,0,26,0.2,0,0.2,2.4,0.2,2.3,0,11,0,4
"2464","Holy See (Vatican City)",2020-04-08,78,8,1,0,0,2,2,6,800,100,600,8000,1000,6000,0,0,0,0
"2489","Honduras",2020-04-08,78,312,7,22,0,6,0,284,3.1,0.1,2.9,31.5,0.7,28.7,11,21,8,14
"2593","Hong Kong",2020-04-08,78,960,25,4,0,264,48,692,12.8,0.3,9.2,128.1,3.3,92.3,38,71,0,65
"2621","Hungary",2020-04-08,78,895,78,58,11,94,23,743,9.3,0.8,7.7,92.7,8.1,76.9,19,29,15,25
"2637","Iceland",2020-04-08,78,1616,30,6,0,633,74,977,473.9,8.8,286.5,4739,88,2865.1,28,37,0,23
"2695","India",2020-04-08,78,5916,605,178,28,506,85,5232,0.4,0,0.4,4.3,0.4,3.8,26,36,17,29
"2755","Indonesia",2020-04-08,78,2956,218,240,19,222,18,2494,1.1,0.1,0.9,10.8,0.8,9.1,25,31,22,29
"2785","Iran (Islamic Republic of)",2020-04-08,78,64586,1997,3993,121,29812,2773,30781,76.9,2.4,36.6,768.9,23.8,366.5,43,48,45,50
"2858","Iraq",2020-04-08,78,1202,80,69,4,452,79,681,3,0.2,1.7,29.9,2,16.9,27,40,26,36
"2881","Ireland",2020-04-08,78,6074,365,235,25,25,0,5814,123,7.4,117.7,1230.1,73.9,1177.4,26,34,14,29
"2952","Israel",2020-04-08,78,9404,156,73,8,801,31,8530,108.6,1.8,98.5,1086.4,18,985.4,28,39,13,19
"2984","Italy",2020-04-08,78,139422,3836,17669,542,26491,2099,95262,230.6,6.3,157.6,2305.9,63.4,1575.6,46,48,44,48
"3059","Jamaica",2020-04-08,78,63,0,4,1,10,2,49,2.1,0,1.7,21.3,0,16.5,0,25,0,21
"3110","Japan",2020-04-08,78,4257,351,93,1,622,30,3542,3.4,0.3,2.8,33.7,2.8,28,48,70,31,56
"3174","Jordan",2020-04-08,78,358,5,6,0,150,12,202,3.5,0,2,35.1,0.5,19.8,18,24,0,13
"3176","Kazakhstan",2020-04-08,78,727,30,7,1,54,3,666,3.9,0.2,3.5,38.7,1.6,35.5,14,24,0,15
"3208","Kenya",2020-04-08,78,179,7,6,0,9,2,164,0.3,0,0.3,3.3,0.1,3,7,18,0,14
"3236","Kosovo",2020-04-08,78,184,14,5,1,30,6,149,10.2,0.8,8.3,102.2,7.8,82.8,9,14,0,14
"3252","Kuwait",2020-04-08,78,855,112,1,0,111,6,743,20,2.6,17.4,200.2,26.2,174,26,44,0,5
"3309","Kyrgyzstan",2020-04-08,78,270,42,4,0,33,0,233,4.1,0.6,3.6,41.4,6.4,35.7,9,19,0,6
"3313","Lao People's Democratic Republic",2020-04-08,78,15,1,0,0,0,0,15,0.2,0,0.2,2.1,0.1,2.1,0,8,0,0
"3334","Latvia",2020-04-08,78,577,29,2,0,16,0,559,30.6,1.5,29.6,305.9,15.4,296.4,20,29,0,6
"3401","Lebanon",2020-04-08,78,576,28,19,0,62,0,495,8.4,0.4,7.3,84.4,4.1,72.5,25,39,11,30
